,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F001972,"Butter, plain, reduced salt","A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Reduced in salt compared to regular butter.","3,086",1.1,82.6,57.21,0.6,0.6,350
F001971,"Butter, plain, no added salt","A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Does not contain added salt.","3,069",1.1,82.2,56.91,0.6,0.6,10
F004205,"Ghee, clarified butter","Indian-style clarified butter containing at least 99.7% milk fat, used mainly in cooking.","3,701",0.3,99.9,65.69,0,0,2
F003466,"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil, with a fat content of approximately 80%. Contains added salt and vitamins A and D.","2,915",0.5,78.1,33.88,1,0.6,611
F003464,"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil with a fat content of approximately 80%. Contains a lower salt content than regular dairy blend and added vitamin D. May contain added vitamin A.","2,915",0.5,78.1,35.46,1,0.6,410
F005309,"Margarine spread, monounsaturated (greater than 65% fat)","A monounsaturated edible oil spread containing approximately 65%  or more edible oils including canola oil, olive oil or blends of monounsaturated oils. Contains added salt and vitamins A and D.","2,500",0.5,67.3,14.86,0,0,358
F005310,"Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)","A monounsaturated edible oil spread containing approximately 65% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D.","2,565",1,68.9,15.83,0,0,280
F005345,"Margarine spread, monounsaturated, reduced fat (less than 65% fat)","A monounsaturated edible oil spread containing less than 65% edible oils including canola oil, olive oil or blends of monounsaturated oils. Contains added salt and vitamins A and D.","1,793",1,48,10.44,0,0,340
F005352,"Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)","A monounsaturated edible oil spread containing approximately 55% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D","1,922",1,51.5,11.52,0,0,338
F005319,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols","A monounsaturated edible oil spread containing approximately 70% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D and phytosterols.","2,820",0.7,75.9,16.62,0,0,356
F005370,"Margarine spread, polyunsaturated (70% fat)","A polyunsaturated edible oil spread containing approximately 70% fat, the majority of which are polyunsaturated edible oils (including sunflower oil). Contains added salt and vitamins A and D.","2,552",0,69,14.79,0,0,562
F005373,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",A polyunsaturated edible oil spread containing approximately 70% polyunsaturated edible oils (including sunflower oil). Formulated to have a reduced salt content. Contains added vitamins A and D.,"2,636",1,70.8,17.34,0,0,283
F006154,"Oil, almond",Edible oil extracted from the almond (Prunus amygdalus).,"3,700",0,100,6.02,0,0,0
F010968,"Oil, avocado",Edible oil extracted from the pulp of avocados (Persea americana).,"3,700",0,100,14.63,0,0,0
F006159,"Oil, canola","Edible oil extracted from the seeds of the canola plant (Brassica napus or Brassica campestris). Although derived from the same plant, canola oil is not rapeseed oil, and it is distinguished by low levels of erucic acid.","3,700",0,100,7.3,0,0,0
F006163,"Oil, coconut",An edible oil derived from the flesh and milk of the coconut palm (Cocos nucifera) fruit. The oil is white and solid at room temperature.,"3,689",0,99.7,87.25,0,0,0
F006165,"Oil, copha",Solidified edible oil extracted from the coconut and used in baking.,"3,700",0.2,99.9,92.41,0,0,1
F006166,"Oil, cottonseed",Edible oil derived from the seeds of the cotton plant.,"3,700",0,100,25.9,0,0,0
F006167,"Oil, grapeseed",Edible oil extracted from the seeds of grapes.,"3,700",0,100,11.38,0,0,0
F009855,"Oil, hemp","Edible oil extracted from the ripened fruits (seeds) of the hemp plant (Cannabis sativa). Refined or unrefined, cold pressed.","3,696",0,99.9,9.09,0,0,0
F006168,"Oil, linseed or flaxseed",Edible oil extracted from linseeds/flaxseeds.,"3,699",0,100,9,0,0,0
F006169,"Oil, macadamia",Edible oil extracted from the macadamia nut (Macadamia integrifolia).,"3,700",0,100,13.58,0,0,0
F006170,"Oil, maize",Edible oil obtained from the kernel of corn or maize (Zea mays).,"3,700",0,100,13.19,0,0,0
F006172,"Oil, mustard seed",Edible oil extracted from the seeds of the mustard plant (Sinapsis alba and Brassica nigra).,"3,700",0,100,12.04,0,0,0
F006177,"Oil, olive",Edible oil pressed from the flesh of the fruit of the olive tree (Olea europaea).,"3,695",0,99.9,15.52,0,0,0
F006181,"Oil, palm",Edible oil extracted from the oil palm.,"3,700",0,100,49.3,0,0,0
F006183,"Oil, peanut",Edible oil extracted from the kernel of the peanut (Leguminosae Arachis hypogaea L.).,"3,700",0,100,17.36,0,0,0
F006185,"Oil, rice bran",Edible oil extracted from the bran of the rice kernel.,"3,700",0,100,22.94,0,0,0
F006186,"Oil, safflower",Edible oil extracted from the seeds of the safflower plant (Carthamus tinctorius).,"3,700",0,100,9.37,0,0,0
F006187,"Oil, sesame","Dark-coloured oil extracted from toasted sesame seeds, used as a flavouring agent in Asian style cooking.","3,700",0,100,15.2,0,0,0
F006188,"Oil, soybean",Edible oil extracted from the seeds of the soybean plant (Glycine maximus).,"3,700",0,100,14.29,0,0,0
F006189,"Oil, sunflower",Edible oil obtained from the seed of the sunflower plant (Helianthus annuus).,"3,700",0,100,10.16,0,0,0
F006156,"Oil, blend of polyunsaturated vegetable oils","Edible oil composed of a mixture, or blend, of various polyunsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant.","3,700",0,100,13.1,0,0,0
F006155,"Oil, blend of monounsaturated vegetable oils","Edible oil composed of a mixture, or blend, of various monounsaturated vegetable oils available in 2008. Blend composition in the analysed samples may not represent those available at other times. Oil may contain antioxidant.","3,700",0,100,6.88,0,0,0
F006191,"Oil, vegetable","Edible oil composed of a mixture, or blend, of monounsaturated and polyunsaturated vegetable oils. Oil may contain antioxidant.","3,700",0,100,9.99,0,0,0
F003627,"Dripping, beef","Fat rendered from the meat, muscles and bones of beef.","3,703",0.2,100,52.1,0,0,0
F008959,Suet,"Hard, white fat surrounding the kidneys of beef and mutton.","3,504",1.5,94,51.62,0,0,7
F003817,"Fat, solid, vegetable oil based","Solidified edible oil product prepared from a blend of vegetable oils, commonly used for frying. Blend composition may vary.","3,702",0.2,100,49.02,0,0,0
F003729,"Egg, chicken, whole, raw","Edible portion, including yolk and white (albumen), of the egg of chickens. Uncooked.",534,12.6,8.5,2.3,0.3,0.3,150
F003725,"Egg, chicken, whole, poached","Edible portion, including yolk and white (albumen), of the egg of chickens, simmered in acidified water for 3-5 minutes, then drained.",556,13.1,8.8,2.39,0.3,0.3,156
F003721,"Egg, chicken, whole, hard-boiled","Edible portion, including yolk and white (albumen), of the egg of chickens, boiled in unsalted water for 5-10 minutes until both yolk and white are firm.",570,12.4,9.4,2.53,0.7,0.3,127
F003718,"Egg, chicken, whole, fried, no fat added","Edible portion, including yolk and white (albumen), of the egg of chickens, fried without added fat, until the yolk is set.",606,14.3,9.6,2.61,0.3,0.3,170
F003724,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw","Edible portion, including both yolk and white (albumen), of the egg of chickens fed a specific diet to increase the level of omega-3 polyunsaturated fatty acids. Actual levels of polyunsaturated fatty acids may vary depending on the chickens diet. Uncooked.",557,12.4,9.2,2.44,0.3,0.3,120
F003723,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled","Edible portion, including both yolk and white (albumen), of the egg of chickens fed a specific diet to increase the level of omega-3 polyunsaturated fatty acids. Actual levels of polyunsaturated fatty acids may vary depending on the chickens diet. Boiled in water until both yolk and albumen are set.",568,12.7,9.4,2.5,0.3,0.3,122
F003737,"Egg, chicken, yolk, raw","Yolk portion of chicken eggs, including any adhering white (albumin) portion. Uncooked.","1,311",15.6,28.2,8.57,0.2,0.2,58
F003736,"Egg, chicken, yolk, hard-boiled","Yolk portion of chicken eggs, separated from the white (albumen) portion, cooked. ","1,450",16.1,31.7,9.63,0.2,0.2,47
F003706,"Egg, chicken, white (albumen), raw",White (albumen) portion of chicken eggs. Uncooked.,197,11.2,0,0,0.4,0.4,175
F003705,"Egg, chicken, white (albumen), hard-boiled","White (albumen) portion of chicken eggs, separated from the yolk portion after being boiled in the shell in unsalted water.",204,11.6,0,0,0.4,0.4,175
F003744,"Egg, duck, whole, raw","Edible portion, including yolk and white (albumen) of duck eggs. Uncooked.",743,12.8,13.8,3.68,0.9,0.9,146
F003743,"Egg, duck, whole, cooked","Edible portion, including yolk and white (albumen), of duck eggs, cooked until the yolk is set.",844,14.6,15.6,4.18,1,1,166
F003746,"Egg, emu, whole, raw","Edible portion, including yolk and white (albumen), of emu eggs. Uncooked.",743,13.3,13.8,4.2,0.3,0.3,118
F003749,"Egg, quail, whole, raw","Edible portion, including yolk and white (albumen), of quail eggs. Uncooked.",639,13,11.1,3.56,0.4,0.4,141
F000086,"Apple, bonza, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,258,0.3,0.3,0,11.5,11.5,0
F000091,"Apple, fuji, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,259,0.3,0.3,0,12.1,12.1,2
F000092,"Apple, golden delicious, unpeeled, raw",Round shaped fruit with golden green skin and cream coloured flesh.,229,0.3,0,0,11.6,11.6,1
F000095,"Apple, granny-smith, unpeeled, raw",Round shaped fruit with green skin and cream/white coloured flesh.,220,0.3,0,0,10.7,10.6,1
F000099,"Apple, jonathon, unpeeled, raw",Round shaped fruit with red skin and cream/white coloured flesh.,239,0.3,0,0,11.9,11.8,1
F000105,"Apple, pink lady, unpeeled, raw",Round shaped fruit with pink/red skin and cream coloured flesh.,257,0.2,0,0,12.3,12.2,1
F009066,"Apple, red bush, unpeeled, raw","Round shaped fruit with dark pink-red skin and creamy white flesh, native to Australia.",124,0.5,0.2,0.04,3.4,3.4,35
F000107,"Apple, red delicious, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,261,0.3,0,0,13.5,13,1
F000111,"Apple, royal gala, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,234,0.4,0,0,12.1,11.1,1
F000089,"Apple, dried","Round shaped fruit with either a green or red waxy skin and cream/white coloured flesh. Peeled, cut (into rings or diced) and dried before packaging.","1,142",1.2,0,0,59.8,59.4,260
F000134,"Apricot, raw","Small, orange coloured stone fruit.",178,0.2,0.4,0,7.3,7.2,1
F000130,"Apricot, dried","Small, orange-coloured stone fruit dried prior to packaging. May be treated to prevent browning.","1,011",4.2,0.4,0,43,42.3,22
F000123,"Apricot, canned in pear juice, drained","Small, orange-coloured stone fruit canned in pear juice, then drained.",205,1,0,0,7.8,7.8,3
F000262,"Banana, cavendish, peeled, raw",Long cylindrical fruit with thick yellow skin and cream-coloured flesh.,412,1.4,0.2,0,19.9,13.4,0
F000267,"Banana, lady finger or sugar, peeled, raw",Medium sized cylindrical fruit with a thick yellow skin and cream coloured flesh. Also known as sugar banana.,509,1,0,0,26.9,16.9,0
F009884,"Banana, frozen","Long cylindrical fruit with thick yellow skin and cream-coloured flesh. Peeled, sliced and purchased frozen.",424,1.4,0.2,0,20.5,13.7,0
F000257,Banana chip,"Dried, thinly sliced banana product that is sometimes fried in oil and coated with a sugary film.","2,206",2.3,33.6,29.12,50.7,35.3,5
F001267,"Blackberry, raw","Round fruit characterised by a collection of tiny, shiny, black drupelets around a central white core.",201,1.2,0.3,0,7.4,7.4,1
